pokedex_number,name,generation,classfication,type1,type2,hp,height_m,weight_kg,speed,percentage_male,is_legendary,entry
14,Kakuna,1,Cocoon Pokémon,bug,poison,45,0.6,10.0,35,50.0,0,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,Beedrill,1,Poison Bee Pokémon,bug,poison,65,1.0,29.5,145,50.0,0,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,Pidgey,1,Tiny Bird Pokémon,normal,flying,40,0.3,1.8,56,50.0,0,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,1,Bird Pokémon,normal,flying,63,1.1,30.0,71,50.0,0,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,Pidgeot,1,Bird Pokémon,normal,flying,83,1.5,39.5,121,50.0,0,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,Rattata,1,Mouse Pokémon,normal,dark,30,,,72,50.0,0,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Raticate,1,Mouse Pokémon,normal,dark,75,,,77,50.0,0,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,1,Tiny Bird Pokémon,normal,flying,40,0.3,2.0,70,50.0,0,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,Fearow,1,Beak Pokémon,normal,flying,65,1.2,38.0,100,50.0,0,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,Ekans,1,Snake Pokémon,poison,,35,2.0,6.9,55,50.0,0,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,1,Cobra Pokémon,poison,,60,3.5,65.0,80,50.0,0,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,1,Mouse Pokémon,electric,,35,0.4,6.0,90,50.0,0,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,Raichu,1,Mouse Pokémon,electric,electric,60,,,110,50.0,0,Its long tail serves as a ground to protect itself from its own high voltage power.
27,Sandshrew,1,Mouse Pokémon,ground,ice,50,,,40,50.0,0,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,1,Mouse Pokémon,ground,ice,75,,,65,50.0,0,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran♀,1,Poison Pin Pokémon,poison,,55,0.4,7.0,41,0.0,0,Edge_case
30,Nidorina,1,Poison Pin Pokémon,poison,,70,0.8,20.0,56,0.0,0,The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,1,Drill Pokémon,poison,ground,90,1.3,60.0,76,0.0,0,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran♂,1,Poison Pin Pokémon,poison,,46,0.5,9.0,50,100.0,0,Edge_case
33,Nidorino,1,Poison Pin Pokémon,poison,,61,0.9,19.5,65,100.0,0,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,1,Drill Pokémon,poison,ground,81,1.4,62.0,85,100.0,0,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones."
35,Clefairy,1,Fairy Pokémon,fairy,,70,0.6,7.5,35,24.6,0,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,1,Fairy Pokémon,fairy,,95,1.3,40.0,60,24.6,0,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,1,Fox Pokémon,fire,ice,38,,,65,24.6,0,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Ninetales,1,Fox Pokémon,fire,ice,73,,,109,24.6,0,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,1,Balloon Pokémon,normal,fairy,115,0.5,5.5,20,24.6,0,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,1,Balloon Pokémon,normal,fairy,140,1.0,12.0,45,24.6,0,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,1,Bat Pokémon,poison,flying,40,0.8,7.5,55,50.0,0,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,1,Bat Pokémon,poison,flying,75,1.6,55.0,90,50.0,0,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,1,Weed Pokémon,grass,poison,45,0.5,5.4,30,50.0,0,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,1,Weed Pokémon,grass,poison,60,0.8,8.6,40,50.0,0,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.
45,Vileplume,1,Flower Pokémon,grass,poison,75,1.2,18.6,50,50.0,0,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,Paras,1,Mushroom Pokémon,bug,grass,35,0.3,5.4,25,50.0,0,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
47,Parasect,1,Mushroom Pokémon,bug,grass,60,1.0,29.5,30,50.0,0,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,1,Insect Pokémon,bug,poison,60,1.0,30.0,45,50.0,0,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,1,Poison Moth Pokémon,bug,poison,70,1.5,12.5,90,50.0,0,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,Diglett,1,Mole Pokémon,ground,ground,10,,,90,50.0,0,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,1,Mole Pokémon,ground,ground,35,,,110,50.0,0,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,1,Scratch Cat Pokémon,normal,dark,40,,,90,50.0,0,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,Persian,1,Classy Cat Pokémon,normal,dark,65,,,115,50.0,0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,1,Duck Pokémon,water,,50,0.8,19.6,55,50.0,0,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
55,Golduck,1,Duck Pokémon,water,,80,1.7,76.6,85,50.0,0,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,1,Pig Monkey Pokémon,fighting,,40,0.5,28.0,70,50.0,0,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,1,Pig Monkey Pokémon,fighting,,65,1.0,32.0,95,50.0,0,Edge_case
58,Growlithe,1,Puppy Pokémon,fire,,55,0.7,19.0,60,75.4,0,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,1,Legendary Pokémon,fire,,90,1.9,155.0,95,75.4,0,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,1,Tadpole Pokémon,water,,40,0.6,12.4,90,50.0,0,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,1,Tadpole Pokémon,water,,65,1.0,20.0,90,50.0,0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,1,Tadpole Pokémon,water,fighting,90,1.3,54.0,70,50.0,0,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,1,Psi Pokémon,psychic,,25,0.9,19.5,90,75.4,0,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,1,Psi Pokémon,psychic,,40,1.3,56.5,105,75.4,0,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,1,Psi Pokémon,psychic,,55,1.5,48.0,150,75.4,0,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,Machop,1,Superpower Pokémon,fighting,,70,0.8,19.5,35,75.4,0,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,1,Superpower Pokémon,fighting,,80,1.5,70.5,45,75.4,0,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,1,Superpower Pokémon,fighting,,90,1.6,130.0,55,75.4,0,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,1,Flower Pokémon,grass,poison,50,0.7,4.0,40,50.0,0,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,1,Flycatcher Pokémon,grass,poison,65,1.0,6.4,55,50.0,0,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,1,Flycatcher Pokémon,grass,poison,80,1.7,15.5,70,50.0,0,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,1,Jellyfish Pokémon,water,poison,40,0.9,45.5,70,50.0,0,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,1,Jellyfish Pokémon,water,poison,80,1.6,55.0,100,50.0,0,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,1,Rock Pokémon,rock,ground,40,,,20,50.0,0,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,1,Rock Pokémon,rock,ground,55,,,35,50.0,0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,1,Megaton Pokémon,rock,ground,80,,,45,50.0,0,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,Ponyta,1,Fire Horse Pokémon,fire,,50,1.0,30.0,90,50.0,0,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,Rapidash,1,Fire Horse Pokémon,fire,,65,1.7,95.0,105,50.0,0,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
79,Slowpoke,1,Dopey Pokémon,water,psychic,90,1.2,36.0,15,50.0,0,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,Slowbro,1,Hermit Crab Pokémon,water,psychic,95,1.6,78.5,30,50.0,0,The SHELLDER that is latched onto SLOWPOKE’s tail is said to feed on the host’s left over scraps.
81,Magnemite,1,Magnet Pokémon,electric,steel,25,0.3,6.0,45,,0,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,1,Magnet Pokémon,electric,steel,50,1.0,60.0,70,,0,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetch'd,1,Wild Duck Pokémon,normal,flying,52,0.8,15.0,60,50.0,0,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,Doduo,1,Twin Bird Pokémon,normal,flying,35,1.4,39.2,75,50.0,0,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,1,Triple Bird Pokémon,normal,flying,60,1.8,85.2,110,50.0,0,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,1,Sea Lion Pokémon,water,,65,1.1,90.0,45,50.0,0,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,Dewgong,1,Sea Lion Pokémon,water,ice,90,1.7,120.0,70,50.0,0,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,Grimer,1,Sludge Pokémon,poison,poison,80,,,25,50.0,0,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,1,Sludge Pokémon,poison,poison,105,,,50,50.0,0,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Shellder,1,Bivalve Pokémon,water,,30,0.3,4.0,40,50.0,0,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,1,Bivalve Pokémon,water,ice,50,1.5,132.5,70,50.0,0,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,1,Gas Pokémon,ghost,poison,30,1.3,0.1,80,50.0,0,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
93,Haunter,1,Gas Pokémon,ghost,poison,45,1.6,0.1,95,50.0,0,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,Gengar,1,Shadow Pokémon,ghost,poison,60,1.5,40.5,130,50.0,0,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
95,Onix,1,Rock Snake Pokémon,rock,ground,35,8.8,210.0,70,50.0,0,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,1,Hypnosis Pokémon,psychic,,60,1.0,32.4,42,50.0,0,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,1,Hypnosis Pokémon,psychic,,85,1.6,75.6,67,50.0,0,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,1,River Crab Pokémon,water,,30,0.4,6.5,50,50.0,0,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,1,Pincer Pokémon,water,,55,1.3,60.0,75,50.0,0,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,1,Ball Pokémon,electric,,40,0.5,10.4,100,,0,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,Electrode,1,Ball Pokémon,electric,,60,1.2,66.6,150,,0,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,Exeggcute,1,Egg Pokémon,grass,psychic,60,0.4,2.5,40,50.0,0,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,Exeggutor,1,Coconut Pokémon,grass,psychic,95,,,45,50.0,0,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,Cubone,1,Lonely Pokémon,ground,,50,0.4,6.5,35,50.0,0,"Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face."
105,Marowak,1,Bone Keeper Pokémon,ground,fire,60,,,45,50.0,0,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,1,Kicking Pokémon,fighting,,50,1.5,49.8,87,100.0,0,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,1,Punching Pokémon,fighting,,50,1.4,50.2,76,100.0,0,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,1,Licking Pokémon,normal,,90,1.2,65.5,30,50.0,0,Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.
109,Koffing,1,Poison Gas Pokémon,poison,,40,0.6,1.0,35,50.0,0,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,Weezing,1,Poison Gas Pokémon,poison,,65,1.2,9.5,60,50.0,0,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,Rhyhorn,1,Spikes Pokémon,ground,rock,80,1.0,115.0,25,50.0,0,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
112,Rhydon,1,Drill Pokémon,ground,rock,105,1.9,120.0,40,50.0,0,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Chansey,1,Egg Pokémon,normal,,250,1.1,34.6,50,0.0,0,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,Tangela,1,Vine Pokémon,grass,,65,1.0,35.0,60,50.0,0,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
115,Kangaskhan,1,Parent Pokémon,normal,,105,2.2,80.0,100,0.0,0,Edge_case
116,Horsea,1,Dragon Pokémon,water,,30,0.4,8.0,60,50.0,0,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Seadra,1,Dragon Pokémon,water,,55,1.2,25.0,85,50.0,0,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,Goldeen,1,Goldfish Pokémon,water,,45,0.6,15.0,63,50.0,0,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,Seaking,1,Goldfish Pokémon,water,,80,1.3,39.0,68,50.0,0,Edge_case
120,Staryu,1,Starshape Pokémon,water,,30,0.8,34.5,85,,0,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.
121,Starmie,1,Mysterious Pokémon,water,psychic,60,1.1,80.0,115,,0,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,Mr. Mime,1,Barrier Pokémon,psychic,fairy,40,1.3,54.5,90,50.0,0,Edge_case
123,Scyther,1,Mantis Pokémon,bug,flying,70,1.5,56.0,105,50.0,0,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,Jynx,1,Humanshape Pokémon,ice,psychic,65,1.4,40.6,95,0.0,0,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,Electabuzz,1,Electric Pokémon,electric,,65,1.1,30.0,105,75.4,0,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,Magmar,1,Spitfire Pokémon,fire,,65,1.3,44.5,93,75.4,0,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,Pinsir,1,Stagbeetle Pokémon,bug,,65,1.5,55.0,105,50.0,0,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,Tauros,1,Wild Bull Pokémon,normal,,75,1.4,88.4,110,100.0,0,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,Magikarp,1,Fish Pokémon,water,,20,0.9,10.0,80,50.0,0,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,Gyarados,1,Atrocious Pokémon,water,flying,95,6.5,235.0,81,50.0,0,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,Lapras,1,Transport Pokémon,water,ice,130,2.5,220.0,60,50.0,0,A POKéMON that has been overhunted almost to extinction. It can ferry people across the water.
132,Ditto,1,Transform Pokémon,normal,,48,0.3,4.0,48,,0,Capable of copying an enemy’s genetic code to instantly transform itself into a duplicate of the enemy.
133,Eevee,1,Evolution Pokémon,normal,,55,0.3,6.5,55,88.1,0,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,Vaporeon,1,Bubble Jet Pokémon,water,,130,1.0,29.0,65,88.1,0,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.
135,Jolteon,1,Lightning Pokémon,electric,,65,0.8,24.5,130,88.1,0,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.
136,Flareon,1,Flame Pokémon,fire,,65,0.9,25.0,65,88.1,0,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,Porygon,1,Virtual Pokémon,normal,,65,0.8,36.5,40,,0,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,Omanyte,1,Spiral Pokémon,rock,water,35,0.4,7.5,35,88.1,0,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,Omastar,1,Spiral Pokémon,rock,water,70,1.0,35.0,55,88.1,0,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,Kabuto,1,Shellfish Pokémon,rock,water,30,0.5,11.5,55,88.1,0,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,Kabutops,1,Shellfish Pokémon,rock,water,60,1.3,40.5,80,88.1,0,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.
142,Aerodactyl,1,Fossil Pokémon,rock,flying,80,1.8,59.0,150,88.1,0,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs."
143,Snorlax,1,Sleeping Pokémon,normal,,160,2.1,460.0,30,88.1,0,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,Articuno,1,Freeze Pokémon,ice,flying,90,1.7,55.4,85,,1,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,Zapdos,1,Electric Pokémon,electric,flying,90,1.6,52.6,100,,1,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,Moltres,1,Flame Pokémon,fire,flying,90,2.0,60.0,90,,1,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,Dratini,1,Dragon Pokémon,dragon,,41,1.8,3.3,50,50.0,0,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,Dragonair,1,Dragon Pokémon,dragon,,61,4.0,16.5,70,50.0,0,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,Dragonite,1,Dragon Pokémon,dragon,flying,91,2.2,210.0,80,50.0,0,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,Mewtwo,1,Genetic Pokémon,psychic,,106,2.0,122.0,140,,1,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,Mew,1,New Species Pokémon,psychic,,100,0.4,4.0,100,,1,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,Chikorita,2,Leaf Pokémon,grass,,45,0.9,6.4,45,88.1,0,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun’s rays.
153,Bayleef,2,Leaf Pokémon,grass,,60,1.2,15.8,60,88.1,0,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,Meganium,2,Herb Pokémon,grass,,80,1.8,100.5,80,88.1,0,The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,Cyndaquil,2,Fire Mouse Pokémon,fire,,39,0.5,7.9,65,88.1,0,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection."
156,Quilava,2,Volcano Pokémon,fire,,58,0.9,19.0,80,88.1,0,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,Typhlosion,2,Volcano Pokémon,fire,,78,1.7,79.5,100,88.1,0,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,Totodile,2,Big Jaw Pokémon,water,,50,0.6,9.5,43,88.1,0,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,Croconaw,2,Big Jaw Pokémon,water,,65,1.1,25.0,58,88.1,0,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,Feraligatr,2,Big Jaw Pokémon,water,,85,2.3,88.8,78,88.1,0,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,Sentret,2,Scout Pokémon,normal,,35,0.8,6.0,20,50.0,0,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,Furret,2,Long Body Pokémon,normal,,85,1.8,32.5,90,50.0,0,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,Hoothoot,2,Owl Pokémon,normal,flying,60,0.7,21.2,50,50.0,0,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,Noctowl,2,Owl Pokémon,normal,flying,100,1.6,40.8,70,50.0,0,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,Ledyba,2,Five Star Pokémon,bug,flying,40,1.0,10.8,55,50.0,0,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,Ledian,2,Five Star Pokémon,bug,flying,55,1.4,35.6,85,50.0,0,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,Spinarak,2,String Spit Pokémon,bug,poison,40,0.5,8.5,30,50.0,0,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,Ariados,2,Long Leg Pokémon,bug,poison,70,1.1,33.5,40,50.0,0,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,Crobat,2,Bat Pokémon,poison,flying,85,1.8,75.0,130,50.0,0,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.
170,Chinchou,2,Angler Pokémon,water,electric,75,0.5,12.0,67,50.0,0,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.
171,Lanturn,2,Light Pokémon,water,electric,125,1.2,22.5,67,50.0,0,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.
172,Pichu,2,Tiny Mouse Pokémon,electric,,20,0.3,2.0,60,50.0,0,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,Cleffa,2,Star Shape Pokémon,fairy,,50,0.3,3.0,15,24.6,0,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,Igglybuff,2,Balloon Pokémon,normal,fairy,90,0.3,1.0,15,24.6,0,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,Togepi,2,Spike Ball Pokémon,fairy,,35,0.3,1.5,20,88.1,0,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,Togetic,2,Happiness Pokémon,fairy,flying,55,0.6,3.2,40,88.1,0,"They say that it will appear before kindhearted, caring people and shower them with happiness."
177,Natu,2,Little Bird Pokémon,psychic,flying,40,0.2,2.0,70,50.0,0,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something."
178,Xatu,2,Mystic Pokémon,psychic,flying,65,1.5,15.0,95,50.0,0,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,Mareep,2,Wool Pokémon,electric,,55,0.6,7.8,35,50.0,0,"If static electricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,Flaaffy,2,Wool Pokémon,electric,,70,0.8,13.3,45,50.0,0,"As a result of storing too much electricity, it developed patches where even downy wool won’t grow."
181,Ampharos,2,Light Pokémon,electric,,90,1.4,61.5,45,50.0,0,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,Bellossom,2,Flower Pokémon,grass,,75,0.4,5.8,50,50.0,0,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.
183,Marill,2,Aquamouse Pokémon,water,fairy,70,0.4,8.5,40,50.0,0,"The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning."
184,Azumarill,2,Aquarabbit Pokémon,water,fairy,100,0.8,28.5,50,50.0,0,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers."
185,Sudowoodo,2,Imitation Pokémon,rock,,70,1.2,38.0,30,50.0,0,"Although it always pretends to be a tree, its composition appears to be closer to a rock than a plant."
